collectionAssignmentId;collectorName;producerName;collectionDate;pointName;volumen
10065;William Rodriguez;John Smith;4/6/2023;Philadelphia;657
10066;Isabella Jackson;John Smith;4/6/2023;Atlanta;828
10067;Michael Kim;John Smith;4/6/2023;Orlando;122
10068;Olivia Davis;John Smith;4/6/2023;Boston;706
10069;Samantha Lee;John Smith;4/6/2023;Orlando;613
10070;Samantha Lee;John Smith;4/6/2023;Houston;159
10071;Sophia Nguyen;John Smith;4/6/2023;Houston;621
10072;John Smith;John Smith;4/6/2023;Los Angeles;651
10073;Avery Brown;John Smith;4/6/2023;Denver;381
10074;Ethan Wilson;John Smith;4/6/2023;Boston;489
10075;Sophia Nguyen;John Smith;4/6/2023;Seattle;191
10076;Samantha Lee;John Smith;4/6/2023;Washington, D.C.;661
10077;William Rodriguez;John Smith;4/6/2023;Boston;572
10078;Isabella Jackson;John Smith;4/6/2023;Houston;351
10079;William Rodriguez;John Smith;4/6/2023;Kansas City;644
10080;Thomas Martinez;John Smith;4/6/2023;Seattle;9
10081;Emily Chen;John Smith;4/6/2023;Houston;697
10082;Olivia Davis;John Smith;4/6/2023;Miami;600
10083;Sophia Nguyen;John Smith;4/6/2023;Houston;554
10084;Isabella Jackson;John Smith;4/6/2023;San Francisco;107
10085;Olivia Davis;John Smith;4/6/2023;Los Angeles;751
10086;Emily Chen;John Smith;4/6/2023;Indianapolis;764
10087;Lucas Wong;John Smith;4/6/2023;Boston;174
10088;Isabella Jackson;John Smith;4/6/2023;Miami;981
10089;Avery Brown;John Smith;4/6/2023;San Francisco;9
10090;Lucas Wong;John Smith;4/6/2023;Los Angeles;796
10091;Avery Brown;John Smith;4/6/2023;Seattle;632
10092;William Rodriguez;John Smith;4/6/2023;Miami;365
10093;Isabella Jackson;John Smith;4/6/2023;Denver;362
10094;Thomas Martinez;John Smith;4/6/2023;Denver;701
10095;Olivia Davis;John Smith;4/6/2023;Houston;95
10096;John Smith;John Smith;4/6/2023;Boston;1
10097;Michael Kim;John Smith;4/6/2023;Boston;15
10098;Emily Chen;John Smith;4/6/2023;San Francisco;103
10099;Sophia Nguyen;John Smith;4/6/2023;Seattle;404
10100;Jane Doe;John Smith;4/6/2023;Boston;833
10101;Robert Johnson;John Smith;4/6/2023;Philadelphia;399
10102;Jane Doe;John Smith;4/6/2023;Denver;787
10103;Jane Doe;John Smith;4/6/2023;Philadelphia;8
10104;Ethan Wilson;John Smith;4/6/2023;Seattle;791
10105;Avery Brown;John Smith;4/6/2023;Miami;818
10106;Olivia Davis;John Smith;4/6/2023;Chicago;298
10107;Jane Doe;John Smith;4/6/2023;Seattle;834
10108;Emily Chen;John Smith;4/6/2023;Los Angeles;712
10109;Michael Kim;John Smith;4/6/2023;Chicago;656
10110;Thomas Martinez;John Smith;4/6/2023;San Francisco;245
10111;John Smith;John Smith;4/6/2023;Washington, D.C.;412
10112;John Smith;John Smith;4/6/2023;Boston;453
10113;Robert Johnson;John Smith;4/6/2023;Philadelphia;341
10114;William Rodriguez;John Smith;4/6/2023;Chicago;413
10115;Michael Kim;John Smith;4/6/2023;Miami;604
10116;Ethan Wilson;John Smith;4/6/2023;Atlanta;126
10117;Olivia Davis;John Smith;4/6/2023;Atlanta;683
10118;John Smith;John Smith;4/6/2023;New York;220
10119;Thomas Martinez;John Smith;4/6/2023;Washington, D.C.;939
10120;Thomas Martinez;John Smith;4/6/2023;Houston;231
10121;Avery Brown;John Smith;4/6/2023;New York;222
10122;Emily Chen;John Smith;4/6/2023;San Francisco;898
10123;Thomas Martinez;John Smith;4/6/2023;Boston;531
10124;Thomas Martinez;John Smith;4/6/2023;Boston;938
10125;Jane Doe;John Smith;4/6/2023;Los Angeles;902
10126;Lucas Wong;John Smith;4/6/2023;Indianapolis;642
10127;Isabella Jackson;John Smith;4/6/2023;Chicago;615
10128;Michael Kim;John Smith;4/6/2023;Orlando;346
10129;Michael Kim;John Smith;4/6/2023;Atlanta;908
10130;Isabella Jackson;John Smith;4/6/2023;Orlando;412
10131;Thomas Martinez;John Smith;4/6/2023;Miami;680
10132;John Smith;John Smith;4/6/2023;Miami;291
10133;Lucas Wong;John Smith;4/6/2023;Denver;638
10134;Benjamin Kim;John Smith;4/6/2023;Miami;854
10135;Isabella Jackson;John Smith;4/6/2023;Houston;154
10136;Olivia Davis;John Smith;4/6/2023;Philadelphia;919
10137;Robert Johnson;John Smith;4/6/2023;Los Angeles;531
10138;Thomas Martinez;John Smith;4/6/2023;Miami;758
10139;Benjamin Kim;John Smith;4/6/2023;Orlando;848
10140;Olivia Davis;John Smith;4/6/2023;Los Angeles;162
10141;William Rodriguez;John Smith;4/6/2023;Kansas City;928
10142;Michael Kim;John Smith;4/6/2023;Chicago;769
10143;Lucas Wong;John Smith;4/6/2023;Philadelphia;700
10144;Robert Johnson;John Smith;4/6/2023;New York;741
10145;Thomas Martinez;John Smith;4/6/2023;New York;877
10146;Ethan Wilson;John Smith;4/6/2023;Atlanta;310
10147;Lucas Wong;John Smith;4/6/2023;Houston;919
10148;Robert Johnson;John Smith;4/6/2023;Orlando;405
10149;Michael Kim;John Smith;4/6/2023;Los Angeles;605
10150;John Smith;John Smith;4/6/2023;Atlanta;62
10151;Jane Doe;John Smith;4/6/2023;Seattle;222
10152;Thomas Martinez;John Smith;4/6/2023;Indianapolis;281
10153;Samantha Lee;John Smith;4/6/2023;Los Angeles;680
10154;Sophia Nguyen;John Smith;4/6/2023;Los Angeles;240
10155;William Rodriguez;John Smith;4/6/2023;Boston;332
10156;Jane Doe;John Smith;4/6/2023;Orlando;352
10157;Ethan Wilson;John Smith;4/6/2023;Seattle;760
10158;Benjamin Kim;John Smith;4/6/2023;Chicago;28
10159;William Rodriguez;John Smith;4/6/2023;Washington, D.C.;647
10160;Lucas Wong;John Smith;4/6/2023;New York;427
10161;Samantha Lee;John Smith;4/6/2023;San Francisco;227
10162;Sophia Nguyen;John Smith;4/6/2023;Philadelphia;206
10163;Benjamin Kim;John Smith;4/6/2023;Miami;766
10164;Benjamin Kim;John Smith;4/6/2023;Miami;335
10165;William Rodriguez;John Smith;4/6/2023;Chicago;838
10166;Avery Brown;John Smith;4/6/2023;Miami;606
10167;Avery Brown;John Smith;4/6/2023;Denver;21
10168;Olivia Davis;John Smith;4/6/2023;Kansas City;584
10169;Michael Kim;John Smith;4/6/2023;Los Angeles;904
10170;Sophia Nguyen;John Smith;4/6/2023;Indianapolis;208
10171;Lucas Wong;John Smith;4/6/2023;Indianapolis;204
10172;Emily Chen;John Smith;4/6/2023;Seattle;934
10173;Ethan Wilson;John Smith;4/6/2023;Boston;742
10174;Jane Doe;John Smith;4/6/2023;Denver;394
10175;Benjamin Kim;John Smith;4/6/2023;New York;647
10176;Robert Johnson;John Smith;4/6/2023;Kansas City;679
10177;Jane Doe;John Smith;4/6/2023;Chicago;88
10178;Isabella Jackson;John Smith;4/6/2023;Washington, D.C.;650
10179;Avery Brown;John Smith;4/6/2023;New York;206
10180;Olivia Davis;John Smith;4/6/2023;Los Angeles;99
10181;Ethan Wilson;John Smith;4/6/2023;Kansas City;388
10182;Thomas Martinez;John Smith;4/6/2023;Chicago;800
10183;Benjamin Kim;John Smith;4/6/2023;Miami;151
10184;Ethan Wilson;John Smith;4/6/2023;Atlanta;188
10185;Emily Chen;John Smith;4/6/2023;San Francisco;698
10186;Ethan Wilson;John Smith;4/6/2023;Atlanta;269
10187;Thomas Martinez;John Smith;4/6/2023;Indianapolis;3
10188;Lucas Wong;John Smith;4/6/2023;San Francisco;407
10189;Benjamin Kim;John Smith;4/6/2023;Miami;886
10190;Samantha Lee;John Smith;4/6/2023;Washington, D.C.;265
10191;Lucas Wong;John Smith;4/6/2023;Chicago;21
10192;Emily Chen;John Smith;4/6/2023;Miami;957
10193;Avery Brown;John Smith;4/6/2023;New York;366
10194;William Rodriguez;John Smith;4/6/2023;Boston;973
10195;Jane Doe;John Smith;4/6/2023;Orlando;975
10196;Benjamin Kim;John Smith;4/6/2023;Seattle;762
10197;Michael Kim;John Smith;4/6/2023;Denver;417
10198;Michael Kim;John Smith;4/6/2023;Houston;461
10199;Isabella Jackson;John Smith;4/6/2023;Denver;118
10200;Avery Brown;John Smith;4/6/2023;Chicago;75
10201;Benjamin Kim;John Smith;4/6/2023;San Francisco;355
10202;Benjamin Kim;John Smith;4/6/2023;Orlando;446
10203;Avery Brown;John Smith;4/6/2023;San Francisco;450
10204;Samantha Lee;John Smith;4/6/2023;San Francisco;15
10205;Olivia Davis;John Smith;4/6/2023;Philadelphia;279
10206;Sophia Nguyen;John Smith;4/6/2023;Philadelphia;38
10207;Samantha Lee;John Smith;4/6/2023;Indianapolis;177
10208;Lucas Wong;John Smith;4/6/2023;Washington, D.C.;471
10209;Samantha Lee;John Smith;4/6/2023;Boston;842
10210;Isabella Jackson;John Smith;4/6/2023;Orlando;392
10211;Jane Doe;John Smith;4/6/2023;Philadelphia;576
10212;Avery Brown;John Smith;4/6/2023;Kansas City;759
10213;Avery Brown;John Smith;4/6/2023;Los Angeles;888
10214;William Rodriguez;John Smith;4/6/2023;Boston;890
10215;John Smith;John Smith;4/6/2023;Washington, D.C.;608
10216;Robert Johnson;John Smith;4/6/2023;Miami;342
10217;Benjamin Kim;John Smith;4/6/2023;Indianapolis;612
10218;William Rodriguez;John Smith;4/6/2023;Kansas City;524
10219;William Rodriguez;John Smith;4/6/2023;San Francisco;766
10220;Samantha Lee;John Smith;4/6/2023;San Francisco;833
10221;Lucas Wong;John Smith;4/6/2023;Boston;474
10222;Jane Doe;John Smith;4/6/2023;Los Angeles;875
10223;Sophia Nguyen;John Smith;4/6/2023;Atlanta;210
10224;Isabella Jackson;John Smith;4/6/2023;New York;682
10225;Olivia Davis;John Smith;4/6/2023;Washington, D.C.;564
10226;Sophia Nguyen;John Smith;4/6/2023;New York;848
10227;Thomas Martinez;John Smith;4/6/2023;Atlanta;534
10228;Robert Johnson;John Smith;4/6/2023;Houston;411
10229;Samantha Lee;John Smith;4/6/2023;Denver;684
10230;John Smith;John Smith;4/6/2023;Houston;201
10231;Jane Doe;John Smith;4/6/2023;Houston;182
10232;Robert Johnson;John Smith;4/6/2023;Chicago;531
10233;Olivia Davis;John Smith;4/6/2023;Miami;719
10234;Ethan Wilson;John Smith;4/6/2023;Houston;734
10235;Avery Brown;John Smith;4/6/2023;Boston;161
10236;Ethan Wilson;John Smith;4/6/2023;Miami;710
10237;Olivia Davis;John Smith;4/6/2023;Kansas City;35
10238;Emily Chen;John Smith;4/6/2023;Orlando;369
10239;William Rodriguez;John Smith;4/6/2023;Orlando;899
10240;Jane Doe;John Smith;4/6/2023;Indianapolis;821
10241;Thomas Martinez;John Smith;4/6/2023;Indianapolis;185
10242;Michael Kim;John Smith;4/6/2023;Kansas City;999
10243;Benjamin Kim;John Smith;4/6/2023;Chicago;973
10244;Lucas Wong;John Smith;4/6/2023;Los Angeles;241
10245;John Smith;John Smith;4/6/2023;Chicago;353
10246;Robert Johnson;John Smith;4/6/2023;Miami;217
10247;Samantha Lee;John Smith;4/6/2023;Houston;101
10248;Emily Chen;John Smith;4/6/2023;Indianapolis;282
10249;Jane Doe;John Smith;4/6/2023;Orlando;8
10250;Avery Brown;John Smith;4/6/2023;Boston;289
10251;Benjamin Kim;John Smith;4/6/2023;Miami;978
10252;Avery Brown;John Smith;4/6/2023;Indianapolis;661
10253;Olivia Davis;John Smith;4/6/2023;Philadelphia;73
10254;Lucas Wong;John Smith;4/6/2023;Boston;673
10255;William Rodriguez;John Smith;4/6/2023;San Francisco;542
10256;Thomas Martinez;John Smith;4/6/2023;Indianapolis;459
10257;Samantha Lee;John Smith;4/6/2023;Boston;400
10258;Samantha Lee;John Smith;4/6/2023;Chicago;217
10259;William Rodriguez;John Smith;4/6/2023;Indianapolis;351
10260;Ethan Wilson;John Smith;4/6/2023;San Francisco;781
10261;Thomas Martinez;John Smith;4/6/2023;Philadelphia;256
10262;Avery Brown;John Smith;4/6/2023;Kansas City;921
10263;William Rodriguez;John Smith;4/6/2023;New York;570
10264;Ethan Wilson;John Smith;4/6/2023;Atlanta;507
10265;Emily Chen;John Smith;4/6/2023;Washington, D.C.;89
10266;Isabella Jackson;John Smith;4/6/2023;Indianapolis;818
10267;Benjamin Kim;John Smith;4/6/2023;Denver;731
10268;Ethan Wilson;John Smith;4/6/2023;Miami;481
10269;Benjamin Kim;John Smith;4/6/2023;Washington, D.C.;813
10270;Isabella Jackson;John Smith;4/6/2023;Indianapolis;739
10271;Emily Chen;John Smith;4/6/2023;Los Angeles;297
10272;Lucas Wong;John Smith;4/6/2023;New York;663
10273;Lucas Wong;John Smith;4/6/2023;Kansas City;342
10274;Sophia Nguyen;John Smith;4/6/2023;San Francisco;36
10275;Robert Johnson;John Smith;4/6/2023;Kansas City;649
10276;Olivia Davis;John Smith;4/6/2023;Washington, D.C.;598
10277;Emily Chen;John Smith;4/6/2023;Chicago;852
10278;Emily Chen;John Smith;4/6/2023;Houston;862
10279;Sophia Nguyen;John Smith;4/6/2023;Philadelphia;695
10280;Jane Doe;John Smith;4/6/2023;Miami;196
10281;Avery Brown;John Smith;4/6/2023;Orlando;777
10282;William Rodriguez;John Smith;4/6/2023;Seattle;256
10283;Thomas Martinez;John Smith;4/6/2023;San Francisco;587
10284;Benjamin Kim;John Smith;4/6/2023;New York;770
10285;Jane Doe;John Smith;4/6/2023;Kansas City;77
10286;Thomas Martinez;John Smith;4/6/2023;Miami;160
10287;Samantha Lee;John Smith;4/6/2023;Seattle;681
10288;Avery Brown;John Smith;4/6/2023;Denver;79
10289;John Smith;John Smith;4/6/2023;New York;192
10290;Lucas Wong;John Smith;4/6/2023;Boston;35
10291;Samantha Lee;John Smith;4/6/2023;Philadelphia;970
10292;Samantha Lee;John Smith;4/6/2023;Denver;772
10293;Samantha Lee;John Smith;4/6/2023;New York;395
10294;Lucas Wong;John Smith;4/6/2023;Kansas City;766
10295;John Smith;John Smith;4/6/2023;San Francisco;652
10296;Sophia Nguyen;John Smith;4/6/2023;Miami;653
10297;John Smith;John Smith;4/6/2023;New York;229
10298;Avery Brown;John Smith;4/6/2023;Orlando;186
10299;Michael Kim;John Smith;4/6/2023;Kansas City;615
10300;William Rodriguez;John Smith;4/6/2023;Indianapolis;815
10301;Lucas Wong;John Smith;4/6/2023;Atlanta;605
10302;Samantha Lee;John Smith;4/6/2023;Denver;286
10303;Olivia Davis;John Smith;4/6/2023;Houston;15
10304;John Smith;John Smith;4/6/2023;Denver;257
10305;Isabella Jackson;John Smith;4/6/2023;New York;142
10306;William Rodriguez;John Smith;4/6/2023;Kansas City;510
10307;Isabella Jackson;John Smith;4/6/2023;Indianapolis;359
10308;Emily Chen;John Smith;4/6/2023;New York;871
10309;Isabella Jackson;John Smith;4/6/2023;Kansas City;568
10310;Lucas Wong;John Smith;4/6/2023;Washington, D.C.;72
10311;Isabella Jackson;John Smith;4/6/2023;Indianapolis;213
10312;John Smith;John Smith;4/6/2023;Kansas City;960
10313;Michael Kim;John Smith;4/6/2023;Denver;755
10314;Lucas Wong;John Smith;4/6/2023;Atlanta;617
10315;Robert Johnson;John Smith;4/6/2023;Miami;179
10316;Samantha Lee;John Smith;4/6/2023;Kansas City;712
10317;Olivia Davis;John Smith;4/6/2023;Miami;518
10318;Jane Doe;John Smith;4/6/2023;Seattle;781
10319;Ethan Wilson;John Smith;4/6/2023;Indianapolis;539
10320;Samantha Lee;John Smith;4/6/2023;Orlando;176
10321;Olivia Davis;John Smith;4/6/2023;Boston;777
10322;William Rodriguez;John Smith;4/6/2023;New York;722
10323;Sophia Nguyen;John Smith;4/6/2023;Chicago;240
10324;Samantha Lee;John Smith;4/6/2023;Atlanta;376
10325;Olivia Davis;John Smith;4/6/2023;Kansas City;989
10326;John Smith;John Smith;4/6/2023;Seattle;38
10327;Robert Johnson;John Smith;4/6/2023;Miami;401
10328;Jane Doe;John Smith;4/6/2023;Philadelphia;247
10329;Lucas Wong;John Smith;4/6/2023;Atlanta;643
10330;Samantha Lee;John Smith;4/6/2023;Indianapolis;639
10331;Avery Brown;John Smith;4/6/2023;Boston;55
10332;Sophia Nguyen;John Smith;4/6/2023;Indianapolis;325
10333;John Smith;John Smith;4/6/2023;Denver;628
10334;Olivia Davis;John Smith;4/6/2023;Indianapolis;750
10335;Robert Johnson;John Smith;4/6/2023;Philadelphia;350
10336;Isabella Jackson;John Smith;4/6/2023;Miami;155
10337;Sophia Nguyen;John Smith;4/6/2023;Seattle;886
10338;Avery Brown;John Smith;4/6/2023;New York;229
10339;Olivia Davis;John Smith;4/6/2023;Boston;804
10340;Emily Chen;John Smith;4/6/2023;Seattle;90
10341;Thomas Martinez;John Smith;4/6/2023;Houston;458
10342;Sophia Nguyen;John Smith;4/6/2023;San Francisco;687
10343;Sophia Nguyen;John Smith;4/6/2023;New York;590
10344;Benjamin Kim;John Smith;4/6/2023;New York;107
10345;Jane Doe;John Smith;4/6/2023;Washington, D.C.;729
10346;Robert Johnson;John Smith;4/6/2023;Kansas City;865
10347;Sophia Nguyen;John Smith;4/6/2023;Miami;192
10348;Jane Doe;John Smith;4/6/2023;Indianapolis;357
10349;Samantha Lee;John Smith;4/6/2023;Kansas City;363
10350;Jane Doe;John Smith;4/6/2023;Kansas City;445
10351;Ethan Wilson;John Smith;4/6/2023;Boston;815
10352;Robert Johnson;John Smith;4/6/2023;Denver;924
10353;Samantha Lee;John Smith;4/6/2023;Atlanta;67
10354;Sophia Nguyen;John Smith;4/6/2023;Denver;640
10355;Benjamin Kim;John Smith;4/6/2023;Boston;193
10356;Robert Johnson;John Smith;4/6/2023;Los Angeles;110
10357;Samantha Lee;John Smith;4/6/2023;Miami;917
10358;Avery Brown;John Smith;4/6/2023;Miami;921
10359;John Smith;John Smith;4/6/2023;Denver;179
10360;Avery Brown;John Smith;4/6/2023;Orlando;565
10361;Michael Kim;John Smith;4/6/2023;Indianapolis;808
10362;Avery Brown;John Smith;4/6/2023;Washington, D.C.;890
10363;John Smith;John Smith;4/6/2023;San Francisco;895
10364;Isabella Jackson;John Smith;4/6/2023;Washington, D.C.;253
10365;Benjamin Kim;John Smith;4/6/2023;Houston;678
10366;Isabella Jackson;John Smith;4/6/2023;Los Angeles;546
10367;Benjamin Kim;John Smith;4/6/2023;New York;570
10368;Avery Brown;John Smith;4/6/2023;San Francisco;323
10369;Thomas Martinez;John Smith;4/6/2023;Kansas City;646
10370;Isabella Jackson;John Smith;4/6/2023;Atlanta;173
10371;Lucas Wong;John Smith;4/6/2023;Atlanta;965
10372;Jane Doe;John Smith;4/6/2023;Orlando;419
10373;Benjamin Kim;John Smith;4/6/2023;Washington, D.C.;860
10374;Michael Kim;John Smith;4/6/2023;Washington, D.C.;142
10375;Jane Doe;John Smith;4/6/2023;Indianapolis;86
10376;Isabella Jackson;John Smith;4/6/2023;Washington, D.C.;595
10377;Isabella Jackson;John Smith;4/6/2023;Atlanta;866
10378;Olivia Davis;John Smith;4/6/2023;Orlando;773
10379;Emily Chen;John Smith;4/6/2023;Miami;992
10380;Thomas Martinez;John Smith;4/6/2023;Denver;71
10381;Sophia Nguyen;John Smith;4/6/2023;Houston;246
10382;Isabella Jackson;John Smith;4/6/2023;Boston;92
10383;Olivia Davis;John Smith;4/6/2023;New York;684
10384;John Smith;John Smith;4/6/2023;New York;589
10385;Avery Brown;John Smith;4/6/2023;Boston;558
10386;Ethan Wilson;John Smith;4/6/2023;Seattle;209
10387;Samantha Lee;John Smith;4/6/2023;Washington, D.C.;588
10388;Samantha Lee;John Smith;4/6/2023;Denver;810
10389;Ethan Wilson;John Smith;4/6/2023;Seattle;54
10390;Ethan Wilson;John Smith;4/6/2023;Denver;274
10391;Robert Johnson;John Smith;4/6/2023;New York;616
10392;Jane Doe;John Smith;4/6/2023;Boston;698
10393;John Smith;John Smith;4/6/2023;Washington, D.C.;671
10394;Isabella Jackson;John Smith;4/6/2023;Washington, D.C.;654
10395;Lucas Wong;John Smith;4/6/2023;San Francisco;760
10396;Benjamin Kim;John Smith;4/6/2023;Houston;927
10397;Jane Doe;John Smith;4/6/2023;Philadelphia;633
10398;Olivia Davis;John Smith;4/6/2023;Chicago;506
10399;Lucas Wong;John Smith;4/6/2023;New York;708
10400;Ethan Wilson;John Smith;4/6/2023;Orlando;926
10401;Thomas Martinez;John Smith;4/6/2023;Indianapolis;640
10402;Michael Kim;John Smith;4/6/2023;Seattle;339
10403;Jane Doe;John Smith;4/6/2023;Philadelphia;240
10404;Avery Brown;John Smith;4/6/2023;Kansas City;600
10405;William Rodriguez;John Smith;4/6/2023;Washington, D.C.;611
10406;William Rodriguez;John Smith;4/6/2023;Washington, D.C.;802
10407;John Smith;John Smith;4/6/2023;Seattle;75
10408;Isabella Jackson;John Smith;4/6/2023;San Francisco;972
10409;Jane Doe;John Smith;4/6/2023;Chicago;344
10410;Benjamin Kim;John Smith;4/6/2023;Philadelphia;29
10411;William Rodriguez;John Smith;4/6/2023;Denver;117
10412;Avery Brown;John Smith;4/6/2023;Chicago;782
10413;Olivia Davis;John Smith;4/6/2023;New York;843
10414;Robert Johnson;John Smith;4/6/2023;Los Angeles;571
10415;Ethan Wilson;John Smith;4/6/2023;Los Angeles;183
10416;Samantha Lee;John Smith;4/6/2023;Houston;884
10417;Sophia Nguyen;John Smith;4/6/2023;Los Angeles;937
10418;Samantha Lee;John Smith;4/6/2023;Boston;101
10419;Michael Kim;John Smith;4/6/2023;Washington, D.C.;930
10420;William Rodriguez;John Smith;4/6/2023;Boston;353
10421;Sophia Nguyen;John Smith;4/6/2023;Indianapolis;901
10422;Benjamin Kim;John Smith;4/6/2023;Chicago;499
10423;Lucas Wong;John Smith;4/6/2023;Indianapolis;529
10424;Lucas Wong;John Smith;4/6/2023;New York;896
10425;Sophia Nguyen;John Smith;4/6/2023;Boston;696
10426;Emily Chen;John Smith;4/6/2023;San Francisco;949
10427;Isabella Jackson;John Smith;4/6/2023;Houston;764
10428;Benjamin Kim;John Smith;4/6/2023;Los Angeles;557
10429;Lucas Wong;John Smith;4/6/2023;Boston;261
10430;Avery Brown;John Smith;4/6/2023;Seattle;78
10431;Emily Chen;John Smith;4/6/2023;Orlando;708
10432;William Rodriguez;John Smith;4/6/2023;Miami;165
10433;Lucas Wong;John Smith;4/6/2023;Denver;211
10434;Robert Johnson;John Smith;4/6/2023;Los Angeles;479
10435;John Smith;John Smith;4/6/2023;Kansas City;551
10436;William Rodriguez;John Smith;4/6/2023;Denver;819
10437;Jane Doe;John Smith;4/6/2023;Houston;785
10438;Jane Doe;John Smith;4/6/2023;Chicago;357
10439;Samantha Lee;John Smith;4/6/2023;Boston;239
10440;Jane Doe;John Smith;4/6/2023;Indianapolis;560
10441;Olivia Davis;John Smith;4/6/2023;Denver;895
10442;John Smith;John Smith;4/6/2023;Denver;661
10443;Jane Doe;John Smith;4/6/2023;Indianapolis;633
10444;William Rodriguez;John Smith;4/6/2023;San Francisco;124
10445;Lucas Wong;John Smith;4/6/2023;Los Angeles;421
10446;Robert Johnson;John Smith;4/6/2023;Houston;42
10447;Sophia Nguyen;John Smith;4/6/2023;Philadelphia;864
10448;William Rodriguez;John Smith;4/6/2023;Philadelphia;967
10449;Isabella Jackson;John Smith;4/6/2023;San Francisco;9
10450;Avery Brown;John Smith;4/6/2023;Philadelphia;515
10451;Avery Brown;John Smith;4/6/2023;Houston;541
10452;Ethan Wilson;John Smith;4/6/2023;Washington, D.C.;195
10453;John Smith;John Smith;4/6/2023;Miami;946
10454;William Rodriguez;John Smith;4/6/2023;Miami;15
10455;Emily Chen;John Smith;4/6/2023;Los Angeles;986
10456;Avery Brown;John Smith;4/6/2023;Chicago;707
10457;Emily Chen;John Smith;4/6/2023;Kansas City;471
10458;John Smith;John Smith;4/6/2023;Orlando;196
10459;Isabella Jackson;John Smith;4/6/2023;Chicago;91
